Address,Committed Algo Amount,Committed Algo
LLY57KTRHOGXQIHSCMV6Y2ZBDCCLYZF7QEFTTRKXLKG4ODREUJFLB2CM7M,44859000000000,44859000
3JWABOWW6LV7T7A77EL3Y66RO22GTIGFHNIYHNTIF6S2TAH3VB7QEK5SD4,43474505245686,43474505.25
I5LZFHEOVMNOJ5TWG7D2RM624OVFXB2KDSPULSP75UIHIJ2JRG5HFSFIUU,40000000692000,40000000.69
5IIFGXH2CJNRRTZJ4SFATW52X3AQKEG2HRSDQQKKMRCGJGW3FTB4F7ZMRI,40000000000000,40000000
PLEXAN2222RLHBJE5CTTJAZ2CWCOOOOJXGM2VZVURYUGHMVWD5R3S6O3OY,39999999997000,40000000
EOEMN7CQDFBYZ4N7VLJVW7KYPLWSTLAFMXNJ77P5SGJU5OREEFLAXOGTAI,39999997895000,39999997.9
WSRGINBJRGOWSIRAN6N6XSPJRUJAXKYMA3MFPCLE3NPEWXP4L6YF67HDFY,39999996895000,39999996.9
7LCI345GLLNCNMZJQZ4627GR26Z6AYGTZUYAV4O2Z5SLYD4MNDUPYNDQMY,39999995895000,39999995.9
JXLDZF3DRFKL4E7ZBVWHVKTYM4643QS56R66QJNKGVJIO7T6GJUPZ5TQRI,39999994895000,39999994.9
THT2VJC76P7ORURMA25F6RCHHNEYELOCMJWWN2HSPKLVRLGMMGJUIKOBAY,39999993891000,39999993.89
IQ5RFRLGS4H6Q5VGEKWAF2LZQEOHP6WBUDZLT37LTAHVPDZLP6UYDCMLFM,39999992895000,39999992.9
FFLRE4VZK35KAU65VLBRMR4KZVHE4S2TEXJJ6K4POZJZXUND3V2V6DVJNU,37137953285371,37137953.29
LO4DZTV7XSBJSEVEMFETUENPXHXOUECQTDRELOTB42RA76AALURITSZLNQ,35686522197617,35686522.2
IOUSAKUXEFKWZE7QON3AJYNEGE4NGKQ5V7X3MFVQM5BOYEZSMRYTXVBUNE,35000002896000,35000002.9
7JXOD57CVHQPHYH2CZQFU3JN5V5EBUUL4CYFDXGYGI3SNKWTBYCOOW6ITI,34512234070000,34512234.07
7N34NWZ4M5E5WU7J2M2VHAAWV5WRC4ILI2PQS6XBUKPLX3YH7U6B3DFJCU,34304939824103,34304939.82
PMYQRSLECSJHPJC6POYFSVKF223IY7BTFZ2CPRQRR4HC4U334PTJT2LVJE,34189503462749,34189503.46
VCIGK4KGH5OHO3LM55KRLCO3PCWOEYPDJYIMZPEJE3WQYKVNFUDQ3BCNEU,34189443777615,34189443.78
4LM4CZNY7FLA34Y2BLDYO7ZXZRPNJMI5QAH33633TLVO3UX4RIYQF4UIM4,33594600000000,33594600
4IZRTUO72JY5WH4HKLVDQSKIVF2VSRQX7IFVI3KEOQHHNCQUXCMYPZH7J4,33485624444447,33485624.44
3XQ3RJXTG2VDOV45ZKYIGEVXP2VF2HDZJX6I3NUCIJHXGHYEDA74LRSQ5U,32966517775932,32966517.78
A3MYPLCU5ZVXDJEAXAVV2SAUWJ4INWGPYOKM3FWOGUASOJ7V2L6DTC5YN4,29487219527807,29487219.53
5EYP2467BNWUIE773T57P3VZ5RRMWUFCPSYOOUHVFP4AY5HSZ7MKECKTKI,29421628546694,29421628.55
R7ALVPEQRGECJK33LANXMPENWYALTAZQTSGNCTEQPKBSBDI5KO252SAK64,29143425118875,29143425.12
ASHPGJPHCZMSVBBUVFOVTSIYFKCR26STPOVPU4GWACKTZT35ZQYBSE775U,29115296220448,29115296.22
J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,29027975357169,29027975.36
5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,28978854637786,28978854.64
XOV7SOX7U47C52A2BLSBTXJTESQ7NMDVFSRMUFZS5YM34KTZWNN4TEBZSA,25767548203773,25767548.2
ZL244JZGHDJHBAIP5VUN2VMLBZLWMHKDAA4Y4N6EJGGUHZHWW6BQSYVJZY,25000000000000,25000000
J3PI7R66BXAN5AHC3H6LK7OOOHCU55VXC57S66FWMW4E7E6FP52PN4XBFM,23310516797982,23310516.8
7LXGH4WPEXJ3HOPON5BDHJSJ7NWPBAELDOWLINCMMW2GOQWOSSNP76D4ZA,21616834096283,21616834.1
C4PZ7RSTYDAAEJE3PIMJW3BRYKNY6OHYZVZO6OLXPZKBMXVWDB4PBECTZI,21616834096283,21616834.1
OVAA75Q4VPN7JLKD6GEKBRV6WEEZSQTN5H6RVR2XM4JMR3WXSABY4VAT6E,21279387633158,21279387.63
WGUDC63GF7CYQROCSUBIKXP6BSNCURMTUZTIGLCCKAWZQLFTS6GFQGMGHY,21199033621443,21199033.62
YA3ANAIGQ2P7IR4BJCEMQUNH4HQ57JMVDPSBG5VBF5TDS2RQBSZTJL7Y3Y,20513440430322,20513440.43
HE4YMUY3EZJZBMI7BPW6A2B6AKKYAX7YK4KBPFH3ITIKGUOHD75XX5SOGU,20000000000000,20000000
RCW47OFHJQAITSDXH2Q4KECSN45UTNQYB3FJFTMQ34SN6V6J3CA7MTM4HA,20000000000000,20000000
UUUIDKBHMNV7FRKS4NHDNF7ISBRSLDGTPA6UAZUZGSGPHNAUG6KFSY454M,20000000000000,20000000
XL4PQL3XAAE4TZK5NSPVKJNFCVGBBLB4YPAHVDVG6JG52NOLHL3DHSGZ5E,20000000000000,20000000
ZDEFFZZ4NAWFP525TOGNWICWOXKOF74DFMYCE6BMMZIZVX5NNPYKN4SRRA,19834649680769,19834649.68
P73D4BTS5B55FBV5Q4K2JZNTJOOMACZY4TFYKLCHPCOGLUPGDBXDBVSS7E,19674865783245,19674865.78
3LIY7JVHSZZ7M6JZRUAFW23CHGA35VNU6GP3RB2ZFJQT43ZRZX636OOTJI,19520604090000,19520604.09
WZY5ZGJ57YOVJ2TCMFXIH6TNLDC2FI2UJSWGG4XN5RK4XVQX4MMOIZD2AU,19294960114246,19294960.11
5JENPSWAYVT3XVJB3UY5LUY2ZRPCSAH2YGKYJIYJUNT4IP2UGKW2MQLK7Q,15943000000000,15943000
ZFY37HKKZ6QYZ2KOUPKAPCKLGPEDZT4FLLVITWS5VUTNOIDX3WVK2ENVIU,15564114949324,15564114.95
AUNBXQGBL2R5NOAY2OE23HWLGXUA7XG7NPKRTKQXOQI3TWL2MZVNQR6PIA,15050000000000,15050000
N2QLR6OBALVEMKBZVKCV46WFA5HYPSG3QQWHNNKSL4UBTB5RIPLGK3VWRU,15000000000000,15000000
YNQPRVJYWCVVHF5PLEYG4AIBELZ7QDCI4MEA7S6ML3JWYHOB5IPE7MFRPE,15000000000000,15000000
VE6LZSCWDM546JBIVXSJCFPMDG5M4SOJMOEYXXAR6DXCOOJO5S46QN7OC4,14999999000000,14999999
LI6VJHMOFIGSTT7P4VZTNOEBCXRBGUFWGJOX6ED232ZFZH5CHLA4ECVGIM,11957699000000,11957699
DEI6S2EGQDDGKYAXD7QSKPDOHUPY5B533KMRYFQHWYZP2H5EGDY7SNQERQ,11897860912098,11897860.91
JDBF5JTCVNM3DQMSGSWWUSYBJSRGC2PT3YRCCUQCZ3SZLIBCCOB5DBKCLA,11865022113719,11865022.11
QLQ7VWZYH6G7PUVVLTLB4S3PVIAIEDIIET3NL5BJY5HXPGYSGVPIA5FQGY,10914770000000,10914770
DHM7CCBIMUJNHSPSZXLPEAJBKJ5N44PBJNUJBVAPQZBHCUVKQ5MFGB7F6A,10914768000000,10914768
HBXZBW5JEVCL66CHI647N3QI42KXY5HXGUHXIUMTYZFTPU3M3HEJFZJSZU,10500000000000,10500000
G3MB25R2F7MJULO7G4YEVHXBABKOSKTQRK33367GQM5BTPLR5WEZGGZFCY,10488737022637,10488737.02
2XRXQGSW5X2LPZLI42XJ3HV5JU3OY5JSKNKE57IJQYOY2VJS3F5RI2YNBU,10314552795100,10314552.8
3SJAILI4GRPZULIY3XBRUO4PRMPUWQBCMEATE33QA7Z5WOL6IXPMRJSOK4,10200000000000,10200000
46U5SGV73FR6DR4VS2LSVPZOTK46VSTBTCYNHQKKSZ6F7M2QC3Q57CZ2A4,10000000000000,10000000
7GI4GMAFMI6HP46FJHGXSPTU65WHVRLQ57PTQ5YSTPOAQU2CI7KNS4YG4U,10000000000000,10000000
IGLR5UVN222Q6UBFPCPRYSUKL7IZLDLUC4DR57P4DLCFVQOPH23LE4G3JM,10000000000000,10000000
IQ3SVTCO4MBIFWRDHNWYE6VXFME6PQZGSTSTI4SLXRPMHHJSP6CLBMGYAQ,10000000000000,10000000
R2NC5NEJYFOQ3AIC5QIPAIPZD3EA62STHE53GE4U65L7ISWW63TYXTTJDA,10000000000000,10000000
WHJRSOUX4P7HQBNGR6ZC3FKS3P3CUZUEZTL3LPN44JS37UTYZ4BLH2TLHA,10000000000000,10000000
QWEL4RJCJOHTF2Q2W6UQFR2ROPZPKF252UYR2RIV5O2RPMTE3WBTQ3FGIM,9999999000000,9999999
PW6V2D63BFTPZBUAPUYTIEC3QJJOBOWPQXD2IY5BY6RMHZY2Q4QZLB3UYI,9930834000000,9930834
ZIHMMLETUX5ZSQZTRB56OBLNQPGIRC7SSMBODP535TGWFXAB4QEMXPXNEY,6914000000000,6914000
7ALM3VPFNT3DDMCYDSOXZB5PY6OZ3A4X246TMKU6W3G54I2VT3R3CLDAE4,6375914390000,6375914.39
3EJ3BFMA2BZKWCDV542K3OWAX6H3XCUGNSQ73RNBVSAJF6RTJ436GXUWU4,6247772000000,6247772
L4NNRCIJ73FTUH2DGTNLOXX2SJITWXRZXOFNP43EK36O3QLGYMY6VUVEQQ,6101300000000,6101300
G7RTTEP6AAQWMVMXUPDYOAJ7XLGRNPLQ7FS4HNRGX536IJSPNOQCQUUAHE,6000000000000,6000000
XQJF6HVQUZ5ITT5K3AI5RVNLBPBY3HCHLOTV2UFFCEWZAHA4LQIDNPVPPQ,5705812000000,5705812
PIWPHEYDTYHUN62LK426LEPQVWA74EP4ISMEAJOJMYQM42ODQIUGKYYWTM,5586000286087,5586000.29
RBNGCSD7OBKXPRAD46WDBM7ZVJ4R3TSIT3SMMD5SDBILRWOYF2WNYQANMY,5500000000000,5500000
UUOB7ZC2IEE4A7JO4WY4TXKXWDFNATM43TL73IZRAFIFFOE6ORPKC7Q62E,5404854448342,5404854.45
PPMEMZYJXXA4Q4HU2A2S2N5DGHTV4UUQR5HDT4D6PGZNMXOUDLDBIPBHDI,5000100000000,5000100
6QE7CFCD4G4K6LQIPUFE5KHOMDY2QGCAKZOW5VO27FL7R7AU3Z327Q6RHY,5000000000000,5000000
M7IDUHKAZHB7AQQ523DPCIS7MLU72AWRDP6XJ4BAKBDLS55EHQ3MGWBJOM,5000000000000,5000000
72V4CTAD43FNF4DZWW4RNFVNHAVWEDMQIHIYPSZTGDRQRWNNGMSBSTBAHE,4850000000000,4850000
4RRVV4EMS75OAN5UE5BU477LYB2Z3JC74N7PLPKN5P7OJCDINMIG5FSVZU,4549850000000,4549850
I55RNI6U5IBCYLHIYXN2ZGHQ3AZDOPU5B27DFNHWUX5CGJVVRUOIYQSG3E,4485126339449,4485126.34
NV62FGOFZPLPVCRU7I6CB6PTWUIOVZLPF27SJ73VA5EGPRDUBZ6543UHWY,4323350819257,4323350.82
RKZYB7NOK5FFK74RDSJHGLXFIVO27QOSTGL77LBLIXAEQVGJCPNQQRDD6A,4323350819257,4323350.82
VYF4CEEXS76L4GPVMQDZSP2RO5TW2XUDKGYFE5BPQ6VZ35F5MEN4NPPHW4,4323350819257,4323350.82
WVDI66JKOAAE42S34FXSVR6BYILFVV7T7V72OIPETFBMDPKREP3NUV45LE,4323350819257,4323350.82
XEEN6IXG2C4QEPTAT6BETOMCRLWZFTJ7ZFISDIYAPNSWNW5H3U6B7G26FQ,4182350000000,4182350
WM6MV5VO3IFOJ3ROD5EA2HYYNI33A3KOLIKVB3GB27QRYBWJ4Z3BO2FINA,4088400000000,4088400
3JBLLR2F2FEYVULMWSOO4SBJW3QMZJZOVGIYTCV3ANCOAV7PDFJB3AQJV4,4026806000000,4026806
NIIHWTUIEAWZT7T6E4D5BXK3QXCFAGTPMIBQCZDINTBRYPK5PX3QS53T2I,4020688482466,4020688.48
KGEFAEOLMFUVD4S3LQ4V35CPIRGOCURWQMNRLC6A3MKTW2VH3PULMCSO2I,4000990000000,4000990
WZMS43UPAK5ITRV24MIBJKIW5WS26ZAUFWTGMUWYSRA4BA7RSEGDBIAED4,3600000000000,3600000
DSWDCY6366TGF7VOQAM4C6HFN5AQPWM3RFWPOZDWYXYGFCGKD7HDV7LFRU,3530597772375,3530597.77
XAQUARLGCE6RILMKH56KLPXXWE4CHUSBXI6WIG23IMLLUJBYDV5WOODVYM,3524627842118,3524627.84
UEQJXSERMP32COKWRGGJUQIVTBKTC3YYKXCV3XCUMVLLV333UKKELMYNPU,3207031000000,3207031
ZB7GCCMH3SLZGG5LCZZFLUWQLWVMUR3PIUV2YFQPHDOGBHUDJGDM5JQUSI,3191387447340,3191387.45
AW6IML4LKSHE5HDIIGHMUBTJLRG2HIE6CHLGVLNV4JR2QWFUVOC5VJPNA4,3161869000000,3161869
MVJD3XLUA6PWGXXXRMPGUZAKQ4PFV2C4ID53JOP5SYJBPMINE54JF4QFDU,3141358951175,3141358.95
SBWFFNJPOFB524E6ZMEZYNLPFTZEJ5EQCK5TCCRTSSCASDCJY7BNFOVJMQ,3102000000000,3102000
2WLYVF6PFBQ4Q36SKBTJWCPRW3CJXTNMYIFFIBTC2UMUSB3UETJI63JAQ4,3090000000000,3090000
3LE4QT5PJ245YTYH4D7KAUCUVVD32U2AYTPN2EQKLX2S4DEL2HTMDMZ4RY,3074258983173,3074258.98
WW5YCAVI35SUL2QQQB3ISCDD4CZS2SAVASXPGZG5DER52RXN4FK6DN5UQ4,3000054626775,3000054.63
QLMX7FEKGZIKACSIH7FIFV3BNHXP77YZ5PTLTN5TKWWXBKL6HD6MO44FFQ,2999999000000,2999999
PKXFBVMEFANWMFGZWWUAZFUDULXTDPXT4GM6MC3FQXKISGEF3EJXJ6O65U,2629659603353,2629659.6
WWSBNSX5OOCAJBJCAR2H2WFYVYJEGWGRTMXIWRBSKHFCJGLSEO2LHJKO4U,2589749632118,2589749.63
VVMM2RGYYE35V344TG57FOD4PZ4OX4RMQZE5UWCECIMJJNLJTL5WV4UWOI,2558889930000,2558889.93
S6OTDMQL6MACDGMJZXCRB4WX663I4OZCGKHGQAXSXLT4TDWEFTCGKLNOLU,2530000000000,2530000
IXMA3WGD35OVFQODKUWKCDUKVTIF4PRN2B6SYLBSFABP7TOVYW4BMWMCYM,2500000000000,2500000
T27WUFS76IBQDLLD2UHF5LOVOABPBFU7LLWVXOXUE4P7EPSB6OIRKA572I,2500000000000,2500000
I6HCBFI7L53WLY653NQKD5PZGC3OKY7N4XZXQIQN3IRMWKT2F6KZWPKPJQ,2488720510000,2488720.51
GNTPERAH7BZ73TYXSZ544JL63ZOEFLT4VF3CCP3V54ECSHFFJUXILID2NM,2130239630956,2130239.63
VTQ7I7HOLQ4U447Y5A4PCBZWHWLSAG2SIFULC36V55QY35NIVPQSVSJBLM,2100682656984,2100682.66
CJS3CGUPR5G2WM7I35YDLN46OZDTC6W3QSHU6OZ6PE7YH4NJNTIZ5JTNAI,2094239262245,2094239.26
I2BLHSDBEP7XQECHFQC5OPKFJKHFA6YD54HEORMLE2H3L4BDSRB3OC47PM,2071761000000,2071761
TSUQLSH2M42NUZ5HHKH6ZZ7PQ54LFCTEWPSDSIXIH463SLUWOHTTDSIOOU,2058000000000,2058000
KZZZLQYU5NKKQURGM6KDJY6YS7FOH5TXBMWJBN34VAFIE4SZSX46SIZQ4Q,2039908000000,2039908
2UFH7UIIV4ZL2KDCSZLDFRPKUQGODXKN2RP4BQVJOTA5CO4WZBTP53PYTA,2001794320000,2001794.32
YILAKL5AFKMSD2GMF42T6AHKXCOFMZB2LNVZP7MZYZO2J5EEWY3CKV6UGY,2000083400000,2000083.4
IZV3NPANUZNG4FINAZZY6FF2QX6RVNG2ES7H5GYW5XQMYCLB4GBNZ6JTAA,1999999000000,1999999
BNYUG5PD2TJCZXDA7V3ZAYQYGVOKK4RSA4CKIFC7JVDR7FSD3CPP6AFDCU,1999995620000,1999995.62
LZKSAXG5KQOS4Y2VUNCHWQPECKUGKMDY2URF4P5XIPJKGEW4752NEJ3DXI,1995000000000,1995000
WCMVORBYWIVUXWQZFKLDLTAPTQ5IXINAW3LBAXTASPDZZHE322SMNWCZLU,1995000000000,1995000
IOOPLJAT3JWMKJL4WP57NDNY6S6CQIIP5MNLTESMWOI5SGLUDVKJRPXTVI,1818698000000,1818698
DCCVQY4V5ZR6RSPHGAA4JOZHU4BS5MBSHRHSNVVHPSKD4KI7ANTLBU3DR4,1804000000000,1804000
XFFHECCOMFFRGO7IHVKTZ7WYIKZ6C753UECQTPE2OGQHNLPN4LNGHHYRCA,1710000000000,1710000
H2K4OGU3V3A67BX5YQY5SLIYYQ7W4X76W3ZROPGLEV6APRYM2N2E4WQFDI,1656000000000,1656000
SPGKAXG2JVI5OWMQFPLWPP6ICN6ZZQ3PKTAXBCYXFIJ6NKGXT2ZWQCK77Y,1593935000000,1593935
IUYMCTHSMBRT62FMNHW2CPYRYGGTXGIZV6ZEQQ4AZI62UYB6TFAPM3VYGI,1529934752403,1529934.75
KG3MN4XX4TA72RY5ZOAI4M5QKK2W6QVGO4G3RCBARC4BM44SR76FJZ6B7U,1529930000000,1529930
OSMO4BQ7IOP27V6T5FVZBCN3ZF5MVHZ4FUFVACEXEO5QDUNQS67WZNSAEQ,1529930000000,1529930
IQIDFXNHJHWJYZIE54VSXTG7RMJUXXMPYASRCV2KYLLAUKY5TACEMOAYPQ,1509404289978,1509404.29
WRFWCMDQKUXKSWQBR5XJ4Z77DINZQPMSPTZC6RJ4N6YPHLJYP7B7RDRCYU,1500015000000,1500015
57ZXWK3EE6I4F3JSVZ5OQDOCYVS2VKMV4QJ4GEQXILQPZNMPLHYF2WQL6A,1500000000000,1500000
KEJVPLX5WZVIPPRWCN2MG6DL2H5NKAVGCJ7QUUVPUAG2O7K663IIR3AGVY,1500000000000,1500000
U5HSJ2K5RTWM5GUGPKZJP7S7KLT7ZJO5TEC2DEMYYFVQA6FHZ4LV72PO3U,1499999000000,1499999
SAVIYBZ5N7ZVCXQGUBIUSWAPODQAXF2JCNP2HOPRRBSIQ4E5XV6BOX3O4U,1450000000000,1450000
SUGN27X5SN23TAKCKG7EMHUWWK6NMN2U7GNIFJEGKCHVD7DYOT3UCG4D4U,1430694398786,1430694.4
HEULLR2C6WO5T2VUGLOFPEM6FKIIPPEWPXLOZBVYQN3AKYJ5GFZI4JUKUI,1401291000000,1401291
OEQCX22QLWUFIQBIJ6CCQUZRBEMRNVZRPS6ILL4R7HE57AZUTTBOCU47QI,1400000000000,1400000
YM7DVJVUCHAC42QPRMIX5XUPU6W2DIPU6ZNOEYTZ6Z2HISYNE4SQF5PLOA,1370000000000,1370000
5BD6O7NYXWN5S5DVAWL762LIDOZ2CQUE5ITLWXU376UJYRHOQNREBU2VPI,1365004000000,1365004
WSO34V4OTSFJ7TDZGRMLQXMJHOHUMHBP425KW2XVPC6GGBJQQGPWNLPGW4,1349000000000,1349000
PQXFZIJHTUZBMD52OF44Y2YXLC7P7FAXMQOVLFPQZAUJDBEMVIFVLTGATI,1345000000000,1345000
HQJKZUYY3RZNPTHGV3QHQTAZ2NMPMIELJ5WYEQCQN5IK7RV67VYC7NGYRA,1338800000000,1338800
GJ6GCRYD2Q6O5OOGA3A747JBPPEDTKF326ZEX2S6ZZVLK56Q2COECGVHM4,1332653204318,1332653.2
VEXTC5CS5WD7XNOJCJWBKRCP2DL2BKPOHWRQYU6ORYZCJZ7Z5A2O36VTPQ,1300985000000,1300985
UI5SRTUSZ5W6K5YAKEYPHV54GQ35XKQ4O77Z2VJRKZ5XLEEZSLM7VEAQ5U,1300000000000,1300000
C27LMRF6KTD5KP3GWWB36OMMFU62AQTMI2HDD7UUVABNYCETPWIL5JLNGY,1295632038000,1295632.04
WVB22NT5FPNMO744YUPXXZ6N7TABDECE7YBOTUJZ6SIOLAVDD5WWZGP5VA,1270000000000,1270000
YQDBDYJDWAOQZHJX3C3K33SXBTQEPX7SO3VEYPNJESQYCVS7POYGRCXOFI,1265437180000,1265437.18
PWZD35WS3KPGD5NO5PWKDJOGDNGWAD4KR6E255SHUTJNKMQAH27HF64PNY,1250000000000,1250000
RSV2YCHXA7MWGFTX3WYI7TVGAS5W5XH5M7ZQVXPPRQ7DNTNW36OW2TRR6I,1250000000000,1250000
XIH4JVQAVE6IUQZI6XDUEI624FP7A64RCC5PXDBOQNYHTAAT7325MLLH74,1250000000000,1250000
ZS6ADTWB6NHRGN7BTWUREDFUENLPFFWVNK7OFFNZVQEXLAM7T4Q3RGSN2M,1250000000000,1250000
YJ2RI5KH65MRSYDTZIBMRRPYJ4QERPZ5MILDPSS5OGH35RR56CPTV6CEWM,1241700000000,1241700
EJYIVIVXLEX7LIBG3FCAXUATUSKLDGO7FCPRD76HYRUXUICHATJV22JXGA,1218300000000,1218300
SQDBP37PIY7FBUNSSSU5RWWPTYGW64AQMBX5K7XENXSX7NKQRIJ5IBBXCE,1218106000000,1218106
ZIOAK2VFADEMNE6YJRCTFOHTNYIZFHUTFXHJDVLHZV2DWGMM34Y5Y7FD7Y,1218100000000,1218100
5CYDRG2UBWQXCDLPFAF5PNN6LPLCG6DGEZNPILFKLTI6SAM3A2HKVHM4HM,1200000000000,1200000
7POQ3H4YA5QJZQB2YPEQ4P5LCBMR5BQUV4Z3JNKCIUU3JS4SNL7IFBH2VU,1200000000000,1200000
TAHR7WJODK37YSER5YCBDBZDIET73G53CPNAVR73SMGQF7A3TOWYSMHIHY,1197615960000,1197615.96
ZKEFAKXB5H4J64OPS3362AWCW4SJ3ICPEG6J422GAN7O6KDKB4Q5KFNISQ,1147860000000,1147860
G7ZYB2WQHCLSHU7ZG2M73C2GZDXCGXLLHLBNTOFWR447PUH64JM2SOAQ2M,1147487000000,1147487
YVOFCNDWZ3BPEVGQ4IR6X4G3RKUCGQV645EFW765ASQVYTX2KOVIYL3D7M,1095000000000,1095000
DVP7EL3LP5NIBZN3Y7ALFSG3MAPXMKULEWSRFESXJ33ZQ35SW76QERXTMA,1093763778896,1093763.78
U5SKFZKXDPTKYUAOB4BUHCJ3TGCYL3HXENRBYBQDCQIDEPU4EMBU2SGFPI,1092627236637,1092627.24
5XK6IXDDNK7EX6K4K6MAKYXREK7LHY3YOKGUROII6JBU7CU4GZYBQEMAB4,1078878356348,1078878.36
NY3PUNXCB5LPUEKOJ46X2SPFDKMJWLQSLGGTDFKALVQF26EPRTUVL6NXSY,1071249170000,1071249.17
EHE4JQ33IJGQJ5U2MN5UF35VYNALBV4J62BG4COWBB4HGTEBZBFFEOU3AM,1047300000000,1047300
MTC5ULRECDQCTE6U65KHKWKY7GDQLH4HSQKYQBKB5KWOC5NEAERMG6CXSE,1047296000000,1047296
V5LYAJVIFTV5FSF4RJS3OBEJHOLZL3CE4424XGRR2DEPJH55S3SKKE2EQQ,1047165000000,1047165
76HRMBPEA7JODUP2R75CSRST7RZ7C2LWZDBCC7E334OMXVQ57UFUNIUUA4,1047070000000,1047070
OTSSDJZ2347GIL4NSASYXFALYCZACMVRHP23UD6LUE4J4DPYRXDIOHSL5M,1047000724779,1047000.72
MPJXW77BASOO23VBKZDRXXYCCTNB5ACXEL2FKA4TEUZE2TJMQZM57SVG7M,1021159000000,1021159
PQLB3DDGJCDZE4Z6GREZQOZXKBIHJ2GE43VDSRY5CMNO7A6MCACO46T2UQ,1019963000000,1019963
KTTJXQE6AZYDBGGCC6XBDPPDYXUMNLFS4XSIUPMCS2ZQAC3UVC5XHKPMEM,1014275000000,1014275
ZR5VRZSJPF4HAYJYV6VXKW3WBJKSD55IT6NQGQV4ENPO3VUZCWPMJOZSDE,1010055744682,1010055.74
T6KQVBHCSOIUHAIUQ5PC2IWGENLYUKS5ZQG4QDEZGMGWEI3AUGTSTCCA5Y,1007500000000,1007500
KL3527P7LJUHYOO2H77SNYQNCHACNGQ4EPCTFZEMBAB46RGDY5LD7ZOMXI,1002227000000,1002227
